vcount,climate,lwidth,condition ,time
1,2,3,1,21
1,2,3,2,16
1,2,3,3,11
1,2,2,1,24
1,2,2,2,21
1,2,2,3,15
1,2,1,1,30
1,2,1,2,27
1,2,1,3,22
1,3,3,1,16
1,3,3,2,13
1,3,3,3,9
1,3,2,1,22
1,3,2,2,17
1,3,2,3,12
1,3,1,1,28
1,3,1,2,24
1,3,1,3,20
1,1,3,1,28
1,1,3,2,23
1,1,3,3,19
1,1,2,1,31
1,1,2,2,27
1,1,2,3,23
1,1,1,1,33
1,1,1,2,29
1,1,1,3,25
2,2,3,1,27
2,2,3,2,24
2,2,3,3,20
2,2,2,1,28
2,2,2,2,26
2,2,2,3,23
2,2,1,1,33
2,2,1,2,29
2,2,1,3,26
3,2,3,1,33
3,2,3,2,29
3,2,3,3,25
3,2,2,1,37
3,2,2,2,32
3,2,2,3,28
3,2,1,1,40
3,2,1,2,36
3,2,1,3,31
4,2,3,1,42
4,2,3,2,37
4,2,3,3,33
4,2,2,1,48
4,2,2,2,43
4,2,2,3,38
4,2,1,1,51
4,2,1,2,47
4,2,1,3,42
2,3,3,1,24
2,3,3,2,21
2,3,3,3,18
2,3,2,1,27
2,3,2,2,23
2,3,2,3,20
2,3,1,1,29
2,3,1,2,26
2,3,1,3,22
3,3,3,1,32
3,3,3,2,28
3,3,3,3,23
3,3,2,1,34
3,3,2,2,29
3,3,2,3,25
3,3,1,1,39
3,3,1,2,34
3,3,1,3,29
4,3,3,1,36
4,3,3,2,32
4,3,3,3,29
4,3,2,1,43
4,3,2,2,39
4,3,2,3,35
4,3,1,1,46
4,3,1,2,44
4,3,1,3,39
2,1,3,1,30
2,1,3,2,26
2,1,3,3,23
2,1,2,1,32
2,1,2,2,29
2,1,2,3,25
2,1,1,1,37
2,1,1,2,32
2,1,1,3,28
3,1,3,1,35
3,1,3,2,33
3,1,3,3,30
3,1,2,1,40
3,1,2,2,37
3,1,2,3,32
3,1,1,1,43
3,1,1,2,39
3,1,1,3,35
4,1,3,1,49
4,1,3,2,45
4,1,3,3,41
4,1,2,1,53
4,1,2,2,49
4,1,2,3,45
4,1,1,1,59
4,1,1,2,53
4,1,1,3,49
